#ID	Name	SMILES
Hlpr-1109-1	Hlpr-1109-1	N=C(N)NCCCC(NC(=O)CNC(=O)C(CO)NC(=O)CN)C(=O)O
Hlpr-1111-0	Hlpr-1111-0	CC(NC(=O)C1CCCN1)C(=O)O
Hlpr-1112-1	Hlpr-1112-1	CC(C)CC(NC(=O)CCCCCN)C(=O)NCC(=O)O
Hlpr-1113-0	Hlpr-1113-0	N=C(N)NCCCC(NC(=O)c1ccccc1N)C(=O)O
Hlpr-1119-0	Hlpr-1119-0	NC(Cc1ccc(O)cc1)C(=O)O
Hlpr-1120-0	Hlpr-1120-0	CC(NC(=O)CCc1cc(=O)oc2cc(O)ccc12)C(=O)O
Hlpr-1123-0	Hlpr-1123-0	NC(=O)CCC(N)C(=O)NCCNc1ccc([N+](=O)O)cc1[N+](=O)O
Hlpr-1125-0	Hlpr-1125-0	NCC(=O)NC(CCCN=C(N)N)C(=O)O
Hlpr-1126-0	Hlpr-1126-0	CC(=O)NC(C)C(=O)O
Hlpr-1127-1	Hlpr-1127-1	CC(NC(=O)C(N)CCCCN)C(=O)O
Hlpr-1129-0	Hlpr-1129-0	CC(C)C(N)C(=O)NC(C(=O)O)C(C)C
Hlpr-1130-1	Hlpr-1130-1	CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)O
Hlpr-1131-0	Hlpr-1131-0	O=C(O)CCCC(=O)NCC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O
Hlpr-1131-1	Hlpr-1131-1	Nc1ccc2ccccc2c1
Hlpr-1133-1	Hlpr-1133-1	CC(C)CC(N)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)O
Hlpr-1136-1	Hlpr-1136-1	N=C(N)NCCCC(NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O
Hlpr-1137-0	Hlpr-1137-0	CC(C)CC(N)C(=O)NCC(=O)NC(CC(C)C)C(=O)NC(C)C(=O)O
Hlpr-1137-1	Hlpr-1137-1	NCCCCC(N)C(=O)O
